Year,Total,Az_Vat_Total,Foreigners_Total,In_Total,In_Az,In_Foreigners,Out_Total,Out_Az,Out_Foreigners,Growth_Rate,Az_Recovery,For_Recovery,Gap
2024,9544889,4297228,5247661,4764969,2138290,2626679,4779920,2158938,2620982,,38.60938477228545,82.84519971198067,-950433
2023,7860434,3691080,4169354,3908128,1822338,2085790,3952306,1868742,2083564,-17.647717013786124,33.16331550136213,65.82188994295657,-478274
2022,6131596,2964098,3167498,3076889,1474626,1602263,3054707,1489472,1565235,-21.994179965126605,26.631586730972096,50.00551758150904,-203400
2021,3432329,1882363,1549966,1699663,907912,791751,1732666,974451,758215,-44.022257826510426,16.912502047392774,24.469424152356606,332397
2020,4028356,2384041,1644315,2015136,1219414,795722,2013220,1164627,848593,17.365089418875645,21.419937755665785,25.95891856665388,739726
2019,17464306,11130009,6334297,8732696,5562325,3170371,8731610,5567684,3163926,333.53432516887784,100.0,100.0,4795712
2018,15504298,9799294,5705004,7740808,4891216,2849592,7763490,4908078,2855412,-11.222936657202409,88.04390005434857,90.06530637890835,4094290
2017,13563155,8174199,5388956,6762008,4065263,2696745,6801147,4108936,2692211,-12.520031542221389,73.44287861761836,85.07583398757589,2785243
2016,13000804,8502396,4498408,6469300,4220527,2248773,6531504,4281869,2249635,-4.1461665814480515,76.39163634099488,71.01668898695466,4003988
2015,12192040,8165744,4026296,6076120,4069944,2006176,6115920,4095800,2020120,-6.2208768011578375,73.3669128210049,63.56342306020699,4139448
2014,13077235,8478131,4599104,6531645,4233841,2297804,6545590,4244290,2301300,7.260433856844295,76.17362214172513,72.60638394442192,3879027
2013,13578595,8560356,5018239,6784598,4275694,2508904,6793997,4284662,2509335,3.8338379634532904,76.91239063688089,79.22329818131357,3542117
2012,12678962,7716911,4962051,6326577,3842529,2484048,6352385,3874382,2478003,-6.625376189510035,69.33427457246441,78.33625420468917,2754860
2011,11504273,7049768,4454505,5738677,3499536,2239141,5765596,3550232,2215364,-9.264867265948107,63.340182384398794,70.32358918440357,2595263
2010,10210332,6291743,3918589,5079043,3116137,1962906,5131289,3175606,1955683,-11.247481696583517,56.52954099138644,61.86304494405614,2373154
2009,8345355,4690703,3654652,4158595,2328228,1830367,4186760,2362475,1824285,-18.265586270848,42.14464696299886,57.69625263861167,1036051
2008,8041933,4259851,3782082,3996418,2097479,1898939,4045515,2162372,1883143,-3.6358189675574026,38.273562941413616,59.7079991670741,477769
2007,5874533,3231641,2642892,2932994,1600293,1332701,2941539,1631348,1310191,-26.951231749879046,29.035385326283205,41.7235251204672,588749
2006,6096490,3575951,2520539,3001984,1740023,1261961,3094506,1835928,1258578,3.7782918233670637,32.12891382208227,39.791929554297816,1055412
2005,6247237,3703408,2543829,3155786,1873643,1282143,3091451,1829765,1261686,2.472685102411387,33.274079113502964,40.15961045085192,1159579
2004,5528570,3052023,2476547,2857905,1578527,1279378,2670665,1473496,1197169,-11.503757581151476,27.421568122721197,39.09742470237818,575476
2003,4927132,2844394,2082738,2484539,1446549,1037990,2442593,1397845,1044748,-10.878726325252286,25.556079963637046,32.880333839729964,761656
